,cutpoint,statistic
DIAPH3_AS1,3,1.12083220953668
ERVMER61_1,2,1.07115348055873
KCNA3,38,1.86348460473115
LINC00114,5,0.85756740353262
LINC00462,13,1.06957187320096
LINC00486,0,1.2115041122769
LINC00501,5,1.16879066019777
LMO7_AS1,46,2.49075577171029
LSAMP_AS1,0,1.89377673618211
MIR205HG,1,0.669869024900657
MRVI1_AS1,3,2.17876479084409
PART1,106,1.81295617528189
RBMS3_AS3,27,1.1325920587682
AFF3,159,3.09654258699113
ANLN,6679,1.71822215384421
E2F3,1343,1.61398492962088
EZH2,1065,2.10512370011172
FRMD5,1088,1.10058950280255
NOVA1,180,2.48738351555724
PROX1,2428,2.8254328195802
RUNX1,7918,1.67154666799752
SOX11,193,1.73331793216258
hsa_mir_216a,1.128695,2.31294540833455
hsa_mir_182,6498.941048,1.7888553454595
hsa_mir_96,3.767156,2.11990512659277
hsa_mir_210,72.871761,1.77084833493894
hsa_mir_205,1.546471,1.37786541444646
hsa_mir_204,0.755882,1.58356557392787
hsa_mir_21,315755.202269,1.53786343323577
hsa_mir_217,35.55389,2.82381282443377
hsa_mir_195,74.326457,1.52833520856981
hsa_mir_141,583.043344,1.73797171787711
hsa_mir_503,1.85848,1.107088721483
hsa_mir_122,0.805772,2.01179033548917
hsa_mir_200a,3271.031242,1.86065487995525
hsa_mir_143,185098.229833,1.38168836519248
hsa_mir_183,6975.933773,1.49113592200306
hsa_mir_508,5.081111,2.50175670341434
hsa_mir_363,2.34544,2.77612959870856
hsa_mir_17,898.712537,2.54919253673116
hsa_mir_372,0.332646,2.23113576016256
hsa_mir_93,1281.523503,2.25069737526781
hsa_mir_145,3764.493559,2.92047595291124
hsa_mir_187,2.49517,3.23453899460712
hsa_mir_222,64.869639,1.64937788040737
hsa_mir_301b,0.186563,1.96820866001356
hsa_mir_100,4481.220603,2.91765952929724
